# YR,MO,DA,HHMM,Day,Day,P > 1,P > 5,P >10,P >30,P >50,P>100,E>0.8,E>2.0,E>4.0
2018,9,13,1750,58374,64200,2.82E+01,3.17E-01,1.76E-01,9.84E-02,8.63E-02,3.81E-02,8.66E+04,3.89E+03,-1.00E+05
2018,9,13,1755,58374,64500,1.92E+01,2.61E-01,2.21E-01,1.60E-01,1.09E-01,7.24E-02,8.79E+04,3.95E+03,-1.00E+05
2018,9,13,1800,58374,64800,2.92E+01,3.79E-01,2.17E-01,1.35E-01,1.07E-01,7.49E-02,8.79E+04,4.01E+03,-1.00E+05
2018,9,13,1805,58374,65100,1.97E+01,1.68E-01,1.28E-01,6.81E-02,5.60E-02,2.84E-02,8.83E+04,4.16E+03,-1.00E+05
2018,9,13,1810,58374,65400,2.39E+01,1.68E-01,1.28E-01,6.81E-02,5.60E-02,2.84E-02,9.32E+04,4.62E+03,-1.00E+05
2018,9,13,1815,58374,65700,2.95E+01,2.58E-01,1.42E-01,6.90E-02,5.62E-02,2.84E-02,9.30E+04,4.54E+03,-1.00E+05
2018,9,13,1820,58374,66000,1.95E+01,1.92E-01,1.52E-01,9.23E-02,8.01E-02,5.26E-02,8.86E+04,4.28E+03,-1.00E+05
2018,9,13,1825,58374,66300,1.85E+01,1.75E-01,1.35E-01,7.55E-02,5.76E-02,2.84E-02,8.93E+04,4.21E+03,-1.00E+05
2018,9,13,1830,58374,66600,1.75E+01,3.27E-01,2.87E-01,9.21E-02,8.00E-02,3.61E-02,8.54E+04,3.82E+03,-1.00E+05
2018,9,13,1835,58374,66900,1.73E+01,1.92E-01,1.53E-01,9.30E-02,8.02E-02,3.61E-02,8.52E+04,3.68E+03,-1.00E+05
2018,9,13,1840,58374,67200,1.89E+01,2.07E-01,1.67E-01,9.48E-02,8.26E-02,5.51E-02,8.64E+04,3.80E+03,-1.00E+05
2018,9,13,1845,58374,67500,3.18E+01,3.90E-01,2.36E-01,1.71E-01,1.11E-01,6.99E-02,8.72E+04,3.94E+03,-1.00E+05
2018,9,13,1850,58374,67800,2.09E+01,1.85E-01,1.45E-01,8.59E-02,7.37E-02,3.41E-02,8.57E+04,3.84E+03,-1.00E+05
2018,9,13,1855,58374,68100,3.56E+01,5.76E-01,3.31E-01,8.67E-02,7.45E-02,3.73E-02,8.79E+04,4.19E+03,-1.00E+05
2018,9,13,1900,58374,68400,3.15E+01,3.01E-01,1.46E-01,8.21E-02,5.91E-02,2.84E-02,8.89E+04,4.37E+03,-1.00E+05
2018,9,13,1905,58374,68700,2.15E+01,2.66E-01,2.00E-01,8.98E-02,7.77E-02,5.01E-02,9.16E+04,4.56E+03,-1.00E+05
2018,9,13,1910,58374,69000,2.84E+01,2.73E-01,1.58E-01,8.49E-02,7.27E-02,4.52E-02,9.32E+04,4.69E+03,-1.00E+05
2018,9,13,1915,58374,69300,2.10E+01,2.52E-01,2.12E-01,1.52E-01,1.24E-01,4.89E-02,9.32E+04,4.58E+03,-1.00E+05
2018,9,13,1920,58374,69600,-1.00E+05,-1.00E+05,-1.00E+05,-1.00E+05,-1.00E+05,-1.00E+05,-1.00E+05,-1.00E+05,-1.00E+05
2018,9,13,1925,58374,69900,2.39E+01,4.95E-01,3.92E-01,1.49E-01,1.37E-01,7.93E-02,9.32E+04,4.42E+03,-1.00E+05
2018,9,13,1930,58374,70200,1.89E+01,3.12E-01,2.72E-01,1.15E-01,6.65E-02,2.84E-02,9.16E+04,4.55E+03,-1.00E+05
2018,9,13,1935,58374,70500,1.98E+01,1.68E-01,1.28E-01,6.81E-02,5.60E-02,2.84E-02,9.32E+04,4.60E+03,-1.00E+05
2018,9,13,1940,58374,70800,2.25E+01,2.18E-01,1.78E-01,8.62E-02,7.41E-02,3.55E-02,9.58E+04,4.91E+03,-1.00E+05
2018,9,13,1945,58374,71100,1.96E+01,2.03E-01,1.64E-01,6.81E-02,5.60E-02,2.84E-02,9.26E+04,4.64E+03,-1.00E+05
